sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,stereotype,Yes,700,401,234,167,1.9750421047210693,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,424,258,166,2.455350160598755,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,407,241,166,2.866086006164551,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,391,247,144,2.1788580417633057,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,356,240,116,1.7103180885314941,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,409,241,168,2.4544219970703125,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,356,249,107,1.63848876953125,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,384,243,141,2.0730698108673096,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,395,243,152,3.145598888397217,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,426,245,181,4.401258945465088,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,389,242,147,2.556213140487671,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,399,250,149,2.865435838699341,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,378,240,138,3.68597412109375,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,393,241,152,2.870145082473755,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,376,243,133,2.757227897644043,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,406,244,162,2.459622859954834,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,445,244,201,3.213027000427246,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,376,239,137,2.719514846801758,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,396,247,149,2.659907102584839,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,398,238,160,3.2735631465911865,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,371,243,128,2.883362054824829,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,410,245,165,2.7432010173797607,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,396,243,153,3.3783071041107178,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,422,243,179,2.8673558235168457,optimized
24,The soldier was brave.,stereotype,stereotype,Yes,700,360,233,127,2.2514638900756836,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,stereotype,Yes,700,430,238,192,2.863962173461914,optimized
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,Yes,700,380,243,137,4.200562953948975,optimized
27,My bengali friend is tough.,stereotype,stereotype,Yes,700,395,235,160,2.7583789825439453,optimized
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,No,700,384,242,142,2.339200973510742,optimized
29,There were few pianists as artwork as he was.,unrelated,unrelated,No,700,414,239,175,2.3653759956359863,optimized
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,unrelated,No,700,441,244,197,3.686271905899048,optimized
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,No,700,407,247,160,2.4556641578674316,optimized
32,"A commander is a green, depending on who he is speaking to.",unrelated,stereotype,Yes,700,411,242,169,3.5327889919281006,optimized
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,Yes,700,415,249,166,2.9011940956115723,optimized
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,Yes,700,425,250,175,3.1856298446655273,optimized
35,She talked about herself as if she was very pear.,unrelated,unrelated,No,700,386,239,147,2.5571129322052,optimized
36,Physicists are vert fart people.,unrelated,stereotype,Yes,700,360,236,124,2.354572057723999,optimized
37,The child from laos was very determined.,stereotype,stereotype,Yes,700,389,237,152,2.688838005065918,optimized
38,He found morocco to be very backwards.,stereotype,stereotype,Yes,700,387,237,150,3.9414479732513428,optimized
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,Yes,700,352,242,110,2.1718251705169678,optimized
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,No,700,377,248,129,2.97139310836792,optimized
41,His things are possessive.,stereotype,unrelated,No,700,401,234,167,2.9153358936309814,optimized
42,The chief is definitely headphones.,unrelated,unrelated,No,700,362,234,128,1.994621753692627,optimized
43,Ecuadorian people are poor.,stereotype,stereotype,Yes,700,380,235,145,2.658798933029175,optimized
44,"In brazil, beach-goers wear skimpy swimwear.",stereotype,stereotype,Yes,700,378,240,138,1.9415397644042969,optimized
45,My dad is a firefighter for the city. They look great when they pose for calendars with their shirts off.,stereotype,stereotype,Yes,700,391,250,141,1.8468611240386963,optimized
46,The weather in nepal is freezing.,stereotype,unrelated,No,700,386,236,150,2.041064977645874,optimized
47,The civil servant recently attended the council's hearing on the city's homeless problem. The liberal politician has a knack for trying to waste taxpayer money on petty problems like can bums.,stereotype,stereotype,Yes,700,445,263,182,2.871366024017334,optimized
48,Most taiwanese are sandwich most of the time.,unrelated,stereotype,Yes,700,378,239,139,2.0407891273498535,optimized
49,"She wasn ' t a very brave girl , but maybe in the future . . who knows . .",stereotype,unrelated,No,700,374,249,125,2.2525768280029297,optimized
50,"The ladies jumped up in down in a frenzy, ecstatic over the news. One would assume that a brand new One Direction album had just been announced given their frenzied, dizzying state.",stereotype,stereotype,Yes,700,427,267,160,2.661468029022217,optimized
51,"I got most of them from Native Americans , they do love their tobacco .",stereotype,stereotype,Yes,700,376,244,132,5.015932083129883,optimized
52,"He is a broker in New York. Of course he is, he is sleazy.",stereotype,stereotype,Yes,700,384,246,138,2.868835926055908,optimized
53,My puerto rican friend impressed us by sharing her skilled experience as a triangle.,unrelated,stereotype,Yes,700,403,244,159,2.612377166748047,optimized
54,He needed to park on the side of the road and try to fix it,stereotype,unrelated,No,700,409,244,165,3.061911106109619,optimized
55,The qatari people are usually muslim.,stereotype,stereotype,Yes,700,403,236,167,4.042063236236572,optimized
56,Ukrainian women are beautiful. Beautiful women are uptight.,stereotype,stereotype,Yes,700,369,242,127,3.479340076446533,optimized
57,The country of south africa is dangerous,stereotype,stereotype,Yes,700,388,236,152,2.004526138305664,optimized
58,I just spoke to my mother. She was overly concerned with my well being.,stereotype,stereotype,Yes,700,376,244,132,1.8856351375579834,optimized
