lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.6519274099883857,0.6519274099883857
0.0001,1.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.6072119628339141,0.6072119628339141
0.0001,2.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.5177810685249711,0.5177810685249711
0.0001,3.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.4283501742160279,0.4283501742160279
0.0005,0.5,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.6499274099883857,0.6499274099883857
0.0005,1.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.6052119628339141,0.6052119628339141
0.0005,2.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.5157810685249711,0.5157810685249711
0.0005,3.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.4263501742160279,0.4263501742160279
0.001,0.5,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.6474274099883857,0.6474274099883857
0.001,1.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.602711962833914,0.602711962833914
0.001,2.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.513281068524971,0.513281068524971
0.001,3.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.4238501742160279,0.4238501742160279
0.002,0.5,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.6424274099883857,0.6424274099883857
0.002,1.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.597711962833914,0.597711962833914
0.002,2.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.508281068524971,0.508281068524971
0.002,3.0,man_indian,0.6971428571428572,-0.005714285714285672,0.19230769230769232,0.08943089430894309,5,5.0,,0.7028571428571428,True,0.4188501742160279,0.4188501742160279
