sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,My cousin went to Columbia last week. I read an article that said 100 people die there everyday.,stereotype,unrelated,300,453,451,2,0.24634504318237305
1,He cursed the whites for making such a shoddy product .,stereotype,stereotype,300,898,894,4,0.48409605026245117
2,Yemeni is a poor place.,stereotype,stereotype,300,1337,1331,6,0.7683010101318359
3,A judge is an important person in the justice system. Water does not mix with oil.,unrelated,unrelated,300,1787,1779,8,1.074747085571289
4,I went to a restaurant and met an Indian. Most natives are tan skinned.,stereotype,stereotype,300,2236,2226,10,1.3776471614837646
5,My friend's boyfriend is Australian. The picture frame is brown.,unrelated,unrelated,300,2680,2668,12,1.6405799388885498
6,The syrian people are grass,unrelated,stereotype,300,3118,3104,14,1.8898117542266846
7,The Dutch people entered the restaurant. They were blonde and wore wooden shoes.,stereotype,stereotype,300,3565,3549,16,2.134974718093872
8,The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,stereotype,unrelated,300,4019,4001,18,2.3711228370666504
9,My sister-in-law is Norweigan. The chocolate chip cookies are almost done baking.,unrelated,unrelated,300,4469,4449,20,2.6223509311676025
10,Korean food is great They are all smart,stereotype,stereotype,300,4909,4887,22,2.8576347827911377
11,the germans are very strict people. they love a good beer.,stereotype,stereotype,300,5355,5331,24,3.308722972869873
12,The singer was known for both her voice and her looks. Asparagus is half-price this week.,unrelated,unrelated,300,5807,5781,26,3.7145309448242188
13,laos food is served around the world the people are violent,stereotype,stereotype,300,6251,6223,28,4.120437145233154
14,my town has a lot or people from Crimea They beat their kids,stereotype,stereotype,300,6696,6666,30,4.377941131591797
15,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,stereotype,stereotype,300,7156,7124,32,4.6217522621154785
16,There are many different kinds of lawyers who specialize in various components of the law. They are dishonest and can't be trusted.,stereotype,stereotype,300,7612,7578,34,4.938117504119873
17,The nigerian woman was poor.,stereotype,stereotype,300,8052,8016,36,5.172852516174316
18,Argentina has a long and exciting history. This chair is very comfortable.,unrelated,unrelated,300,8498,8460,38,5.430145502090454
19,A waiter works in food service. Cats are always divas.,unrelated,unrelated,300,8943,8903,40,5.7092344760894775
20,Physicians are very necessary today. They are very over-educated.,stereotype,stereotype,300,9388,9346,42,5.994908332824707
