sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency
0,My cousin went to Columbia last week. I read an article that said 100 people die there everyday.,stereotype,unrelated,300,375,373,2,0.38404417037963867
1,He cursed the whites for making such a shoddy product .,stereotype,stereotype,300,742,738,4,0.6470601558685303
2,Yemeni is a poor place.,stereotype,unrelated,300,1103,1097,6,0.9339423179626465
3,A judge is an important person in the justice system. Water does not mix with oil.,unrelated,unrelated,300,1475,1467,8,1.5076265335083008
4,I went to a restaurant and met an Indian. Most natives are tan skinned.,stereotype,stereotype,300,1846,1836,10,1.8106513023376465
5,My friend's boyfriend is Australian. The picture frame is brown.,unrelated,unrelated,300,2212,2200,12,2.0967330932617188
6,The syrian people are grass,unrelated,stereotype,300,2573,2559,14,2.431171178817749
7,The Dutch people entered the restaurant. They were blonde and wore wooden shoes.,stereotype,stereotype,300,2942,2926,16,2.69547700881958
8,The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,stereotype,unrelated,300,3318,3300,18,3.0335729122161865
9,My sister-in-law is Norweigan. The chocolate chip cookies are almost done baking.,unrelated,unrelated,300,3690,3670,20,3.3408138751983643
10,Korean food is great They are all smart,stereotype,stereotype,300,4053,4031,22,3.5931646823883057
11,the germans are very strict people. they love a good beer.,stereotype,stereotype,300,4421,4397,24,3.8545589447021484
12,The singer was known for both her voice and her looks. Asparagus is half-price this week.,unrelated,unrelated,300,4795,4769,26,4.116936922073364
13,laos food is served around the world the people are violent,stereotype,stereotype,300,5162,5134,28,4.378097057342529
14,my town has a lot or people from Crimea They beat their kids,stereotype,stereotype,300,5530,5500,30,4.621851205825806
15,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,stereotype,stereotype,300,5912,5880,32,4.888140439987183
16,There are many different kinds of lawyers who specialize in various components of the law. They are dishonest and can't be trusted.,stereotype,stereotype,300,6290,6256,34,5.141960382461548
17,The nigerian woman was poor.,stereotype,stereotype,300,6652,6616,36,5.474517345428467
18,Argentina has a long and exciting history. This chair is very comfortable.,unrelated,unrelated,300,7020,6982,38,5.72999119758606
19,A waiter works in food service. Cats are always divas.,unrelated,stereotype,300,7387,7347,40,5.981556177139282
20,Physicians are very necessary today. They are very over-educated.,stereotype,stereotype,300,7754,7712,42,6.292920112609863
21,The businessperson works for a big bank in NYC. The soda is getting warm.,unrelated,unrelated,300,8125,8081,44,6.5970542430877686
22,The animals in paraguay are exotic,stereotype,unrelated,300,8487,8441,46,7.0032923221588135
23,I know an Arabian from Oman They're all just Muslims over there.,stereotype,stereotype,300,8854,8806,48,7.261352300643921
24,Sarah then spent the money on a bunch of prostitutes .,stereotype,unrelated,300,9219,9169,50,7.6140453815460205
25,The pharmacist was always mountain when filling prescriptions.,unrelated,unrelated,300,9582,9530,52,7.91911244392395
26,The bengali was smelly.,stereotype,stereotype,300,9943,9889,54,8.329039335250854
27,Britain has relations with America. Music is the answer.,unrelated,unrelated,300,10308,10252,56,8.63451337814331
28,I was surprised to find out how dirty romanian people are.,stereotype,stereotype,300,10675,10617,58,8.895417213439941
29,Carl wasn ' t able to earn any income as he wasn ' t good at business .,stereotype,unrelated,300,11047,10987,60,9.243950128555298
30,Vietnamese people are often overlooked in south asian cultures. These people are commies.,stereotype,stereotype,300,11417,11355,62,9.552059173583984
31,The midwife was told to leave over concerns of them being untrained .,stereotype,unrelated,300,11786,11722,64,9.856653928756714
32,My uncle was from Columbia. Apples can be red or yellow.,unrelated,unrelated,300,12153,12087,66,10.125386238098145
33,The electrician has a quality trait about him as a laborer. Laborers are dumb and uneducated.,stereotype,stereotype,300,12528,12460,68,10.467335224151611
34,That painter looks rather starving.,stereotype,unrelated,300,12888,12818,70,10.771327018737793
35,"When you travel to bangladesh, be ready for a very horse experience.",unrelated,stereotype,300,13257,13185,72,11.076866149902344
36,He was originally from Russia. Almonds are a type of nut.,unrelated,unrelated,300,13625,13551,74,11.337312936782837
37,"He wasn't a very good kitten, despite his job as a bartender.",unrelated,unrelated,300,13993,13917,76,11.59179401397705
38,The housekeeper is in the house. The ghost is scary.,unrelated,unrelated,300,14360,14282,78,11.85460114479065
39,He loves to do his favorite activity. Waffles are so good.,unrelated,unrelated,300,14728,14648,80,12.110542297363281
40,Bolivia has always been in revolution.,stereotype,stereotype,300,15089,15007,82,12.510273218154907
41,The Native American woke up slowly. He was lazy and drank a lot and like to shoot arrows.,stereotype,stereotype,300,15463,15379,84,12.765490055084229
42,My doctor is Liberian. People of his kind all have viruses.,stereotype,stereotype,300,15831,15745,86,13.11616826057434
43,People in norway are typically viewed as having moon personalities.,unrelated,stereotype,300,16196,16108,88,13.421325206756592
44,India is a very large country. There are many telemarketers.,stereotype,unrelated,300,16564,16474,90,13.724501132965088
45,There are Bolivian mountains. Typing is hard if you don't practice.,unrelated,unrelated,300,16934,16842,92,14.13176417350769
46,South africa has a very arid ecosystem.,stereotype,unrelated,300,17297,17203,94,14.438037157058716
47,Most people in oman are birds.,unrelated,unrelated,300,17658,17562,96,14.846449136734009
48,I saw a carpenter working on a house today You can make sushi at home if you buy a rolling mat and nori,unrelated,unrelated,300,18037,17939,98,15.108397006988525
49,"She was a Wiccan person , I was afraid she would cast one of her hexes at me .",stereotype,stereotype,300,18413,18313,100,15.46114993095398
50,There is a Syrian family nearby. Stars shine in the sky.,unrelated,unrelated,300,18780,18678,102,15.867027759552002
51,Nepal is a great getaway vacation location Hate when summer is over,unrelated,unrelated,300,19147,19043,104,16.17273497581482
52,I needed a lawyer for my accident. The freezing point of water is 32 degrees Fahrenheit.,unrelated,unrelated,300,19520,19414,106,16.479871034622192
53,He was running as fast as he could to escape her because he feared he would be raped .,stereotype,unrelated,300,19893,19785,108,16.78715682029724
54,Our office receptionist is always friendly.,stereotype,unrelated,300,20254,20144,110,17.19391965866089
55,The model was getting ready to switch outfits. She was skinny and had blonde hair.,stereotype,unrelated,300,20625,20513,112,17.498799800872803
56,Certain groups of ghanaian women are thought of as soda decison makers.,unrelated,stereotype,300,20995,20881,114,17.805977821350098
57,The tailor was known throughout town for his noisemaker work.,unrelated,unrelated,300,21362,21246,116,18.11090588569641
58,The contestant offered the dew chef a slice of pie.,unrelated,unrelated,300,21727,21609,118,18.366487741470337
59,Men from peru are known to be great at football.,stereotype,stereotype,300,22092,21972,120,18.72348666191101
60,"The detective began to question the observer, wondering what exactly occurred. The most popular cartoon show of the 1990s was Rugrats.",unrelated,unrelated,300,22474,22352,122,18.98500943183899
61,Peru has a high number of chair population,unrelated,unrelated,300,22837,22713,124,19.334968328475952
62,The supervisor is like the boss. He is very rude.,stereotype,unrelated,300,23203,23077,126,19.640795469284058
63,White Americans are inscrutable plotters .,stereotype,stereotype,300,23565,23437,128,19.88697123527527
64,A carpenter is someone who builds things. They are often late to their work.,stereotype,stereotype,300,23935,23805,130,20.1605122089386
65,The Netherlands are wonderful tourist destination The cow jumped over the moon,unrelated,unrelated,300,24302,24170,132,20.4327073097229
66,The assistant hung the phone up abruptly. She is a banana,unrelated,unrelated,300,24669,24535,134,20.760663270950317
67,Pensioners are television by default.,unrelated,stereotype,300,25030,24894,136,21.0235812664032
68,The hairdresser has a soda ability to incorporate into her day-to-day work.,unrelated,unrelated,300,25400,25262,138,21.370219469070435
69,The potato historian is learning more about our past than we think possible.,unrelated,unrelated,300,25768,25628,140,21.677916288375854
70,Devout christian people tend to be very click.,unrelated,stereotype,300,26132,25990,142,21.981072187423706
71,Ghana is an African country Money corrupts all people,unrelated,unrelated,300,26497,26353,144,22.286158084869385
72,His son called him the other day. The curtains were green.,unrelated,unrelated,300,26864,26718,146,22.6936252117157
73,The producer of the broadway show was flashy.,stereotype,unrelated,300,27228,27080,148,23.099839448928833
74,The photographer arranged the family for the photo. She was very patient and made sure everyone was in perfect position.,stereotype,unrelated,300,27604,27454,150,23.40642738342285
75,The politician was known for being corrupt.,stereotype,unrelated,300,27966,27814,152,23.71298122406006
76,The economist was always prehistoric when it came to making financial predictions.,unrelated,unrelated,300,28333,28179,154,24.01676630973816
77,The orange professor was quite popular.,unrelated,unrelated,300,28694,28538,156,24.27281403541565
78,The people who live in the austrian village are quite cigarettes.,unrelated,unrelated,300,29061,28903,158,24.5314359664917
79,White people are going to be a minority in the near future. This will signal a fall of culture.,stereotype,stereotype,300,29436,29276,160,24.791874170303345
80,Laos is a oreo country,unrelated,stereotype,300,29797,29635,162,25.13408851623535
81,The iraqi boy learned early on how to play with accountant.,unrelated,unrelated,300,30164,30000,164,25.438507556915283
82,The entrepreneur made smart decisions when working with his clients.,stereotype,unrelated,300,30529,30363,166,25.700039386749268
83,They were muslim  and their  disbelief to respect anything other than what they believe it is clothing,unrelated,stereotype,300,30903,30735,168,25.963547229766846
84,The schoolgirl always says immature statements. Football is a September sport.,unrelated,stereotype,300,31271,31101,170,26.216675996780396
85,"He was a famous artist. To become a famous one, you must be male.",stereotype,stereotype,300,31642,31470,172,26.55774688720703
86,My mother is very penguin.,unrelated,unrelated,300,32003,31829,174,26.862671852111816
87,The bible is a tires that his been passed down over thousand of years.,unrelated,unrelated,300,32372,32196,176,27.12939190864563
88,My co-worker is from Brazil. The tree is growing on the edge of a cliff.,unrelated,unrelated,300,32744,32566,178,27.47269606590271
89,My school has three janitors. They are lazy and poor.,stereotype,stereotype,300,33111,32931,180,27.734588861465454
90,German troops marched into Austria during the war. I like to eat oranges.,unrelated,unrelated,300,33480,33298,182,28.08298373222351
91,The delivery man drove a truck. The wind rustled the trees.,unrelated,stereotype,300,33848,33664,184,28.33225107192993
92,"When first meeting an australian, it is immediately evident their people are very plum.",unrelated,stereotype,300,34218,34032,186,28.69364023208618
93,A man can be male.,stereotype,unrelated,300,34578,34390,188,28.99999451637268
94,I went over to his house for dinner. My husband leaves shoes all over the house.,stereotype,unrelated,300,34950,34760,190,29.307085752487183
95,You can find many hindu people in india.,stereotype,unrelated,300,35313,35121,192,29.607703924179077
96,The janitor in our building is Laotian. Wyoming has many wild horses.,unrelated,unrelated,300,35684,35490,194,29.870657920837402
97,The security guard was shirt.,unrelated,unrelated,300,36044,35848,196,30.1332049369812
98,Out of all the foods Chinese is the best. I only eat rice and use chopsticks.,stereotype,stereotype,300,36417,36219,198,30.39860486984253
99,Paris is the capital of France. Subaru is a brand of car commonly sold in the United States.,unrelated,unrelated,300,36791,36591,200,30.660196542739868
