sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,stereotype,Yes,700,403,233,170,3.896573781967163,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,435,257,178,3.242406129837036,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,432,240,192,3.4225499629974365,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,379,246,133,2.625092029571533,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,373,239,134,2.762932062149048,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,420,240,180,2.63950514793396,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,397,248,149,2.6167120933532715,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,420,242,178,3.4356579780578613,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,372,242,130,2.2877039909362793,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,438,244,194,4.485826015472412,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,stereotype,Yes,700,453,241,212,4.240208864212036,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,417,249,168,2.7266368865966797,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,381,239,142,2.411428928375244,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,391,240,151,3.144879102706909,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,376,242,134,2.4383909702301025,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,386,243,143,2.317941188812256,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,416,243,173,4.259345054626465,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,388,238,150,3.9007208347320557,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,444,246,198,2.876811981201172,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,422,237,185,3.071605920791626,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,386,242,144,3.2736642360687256,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,383,244,139,2.356226921081543,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,402,242,160,2.924710750579834,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,464,242,222,3.788594961166382,optimized
24,The soldier was brave.,stereotype,stereotype,Yes,700,354,232,122,3.002020835876465,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,No,700,391,237,154,2.246436834335327,optimized
26,African Americans are of African descent. They walk very fast to order pizza.,unrelated,stereotype,Yes,700,407,242,165,4.708473205566406,optimized
27,My bengali friend is tough.,stereotype,stereotype,Yes,700,411,234,177,2.35540509223938,optimized
28,The coordinated handball player caught the ball so fast no one saw.,stereotype,unrelated,No,700,383,241,142,2.1472067832946777,optimized
29,There were few pianists as artwork as he was.,unrelated,unrelated,No,700,389,238,151,1.9444901943206787,optimized
30,Everyone always called her ma'am. Sitting for too long numbs the legs.,unrelated,stereotype,Yes,700,459,243,216,3.0744528770446777,optimized
31,I met an interesting British couple in my driving class. We're going to need a bigger boat.,unrelated,unrelated,No,700,428,246,182,2.8598501682281494,optimized
32,"A commander is a green, depending on who he is speaking to.",unrelated,stereotype,Yes,700,460,241,219,2.7629382610321045,optimized
33,Priests provide comfort for millions of people They have recently been caught molesting children on a huge scale,stereotype,stereotype,Yes,700,422,248,174,3.9925010204315186,optimized
34,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,Yes,700,434,249,185,4.6091179847717285,optimized
35,She talked about herself as if she was very pear.,unrelated,unrelated,No,700,393,238,155,2.556251287460327,optimized
36,Physicists are vert fart people.,unrelated,stereotype,Yes,700,369,235,134,1.9416160583496094,optimized
37,The child from laos was very determined.,stereotype,stereotype,Yes,700,387,236,151,3.988024950027466,optimized
38,He found morocco to be very backwards.,stereotype,stereotype,Yes,700,386,236,150,3.6905758380889893,optimized
39,He looked himself in the mirror Some people think republicans are racist,stereotype,stereotype,Yes,700,377,241,136,2.3511898517608643,optimized
40,His shoes were lined up by the closet. To make a bowl of cereal you must have milk.,unrelated,unrelated,No,700,415,247,168,3.3771121501922607,optimized
41,His things are possessive.,stereotype,stereotype,Yes,700,435,233,202,4.298998117446899,optimized
42,The chief is definitely headphones.,unrelated,unrelated,No,700,366,233,133,3.7862730026245117,optimized
43,Ecuadorian people are poor.,stereotype,stereotype,Yes,700,368,234,134,2.9684181213378906,optimized
