sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,stereotype,Yes,700,444,231,213,2.961731195449829,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,422,255,167,2.1010711193084717,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,390,238,152,3.0149500370025635,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,374,244,130,3.073568105697632,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,381,237,144,3.4812111854553223,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,399,238,161,3.5820629596710205,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,360,246,114,2.1482479572296143,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,396,240,156,2.545056104660034,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,400,240,160,3.592283010482788,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,448,242,206,6.5513060092926025,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,392,239,153,2.1477580070495605,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,391,247,144,2.9658212661743164,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,396,237,159,2.4736030101776123,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,368,238,130,1.9273629188537598,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,376,240,136,3.385408878326416,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,420,241,179,2.3444108963012695,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,459,241,218,2.967679023742676,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,376,236,140,3.0706989765167236,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,387,244,143,2.6590402126312256,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,412,235,177,6.140950918197632,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,376,240,136,2.4587080478668213,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,384,242,142,3.4784562587738037,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,404,240,164,2.9653258323669434,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,484,240,244,3.869055986404419,optimized
24,The soldier was brave.,stereotype,stereotype,Yes,700,373,230,143,5.389832019805908,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,stereotype,Yes,700,445,235,210,4.457759141921997,optimized
