factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,asian,indian,-0.11166596977112979,0.8943429451908919,0.07135290434306575,2.449166854209467,359.0,0.11846828552639013,0.5293602568137665
ethnicity,black,indian,-0.10917523953015731,0.8965732886491903,0.07284103948421207,2.246446278116787,359.0,0.1348004433277665,0.5293602568137665
ethnicity,indian,latine,0.09669075214143869,1.1015196783423926,0.07116408157453821,1.846070062417805,359.0,0.1750942250363737,0.5293602568137665
ethnicity,white,asian,0.08589389357490006,1.0896906989861963,0.0711314217773263,1.458147980183491,359.0,0.2280199693751694,0.5293602568137665
ethnicity,indian,middle_eastern,0.08415391818153795,1.0877963125544132,0.07264060994956449,1.3421149633538347,359.0,0.24743139979613143,0.5293602568137665
ethnicity,white,black,0.08340316333392758,1.086979950681711,0.072084813658241,1.3386821905131696,359.0,0.24803577252485617,0.5293602568137665
ethnicity,asian,middle_eastern,-0.027512051589591843,0.9728629579377058,0.026824819278143147,1.0518948888046211,359.0,0.3057616431156122,0.5293602568137665
ethnicity,white,latine,0.07091867594520895,1.0734939214399455,0.07010703795838082,1.023288281122001,359.0,0.31242157932851367,0.5293602568137665
ethnicity,white,indian,-0.02577207619622973,0.9745571890784362,0.02575246416316097,1.0015236989213343,359.0,0.3176161540882599,0.5293602568137665
ethnicity,black,middle_eastern,-0.02502132134861937,0.9752891173273727,0.028959290951769197,0.7465254752443218,359.0,0.3881554272971047,0.5588214354819013
ethnicity,white,middle_eastern,0.058381841985308214,1.060119716652917,0.07074816482932364,0.6809656861127437,359.0,0.4098023860200609,0.5588214354819013
ethnicity,asian,latine,-0.014975217629691104,0.9851363533144591,0.028279253164106358,0.28042092233239346,359.0,0.59675277114742,0.699380417363266
ethnicity,latine,middle_eastern,-0.01253683395990074,0.9875414247627144,0.024973579618059568,0.2520078993199837,359.0,0.6159725326238025,0.699380417363266
ethnicity,black,latine,-0.01248448738871863,0.9875931205232371,0.027723891309341327,0.20278370557515654,359.0,0.652755056205715,0.699380417363266
ethnicity,asian,black,-0.0024907302409724746,0.9975123690538911,0.02744505596433109,0.008236167039502584,359.0,0.9277392074836717,0.9277392074836717
