factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,indian,latine,0.03458147934356584,1.0351863712459644,0.023110587471782795,2.2390570782881727,578.0,0.1351088324502299,0.555969662243327
ethnicity,white,latine,0.028542656195535338,1.0289539011572248,0.020639730444775982,1.9124087870049247,578.0,0.16722992534145004,0.555969662243327
ethnicity,asian,indian,-0.03158776700119348,0.9689059147552902,0.02311947382914074,1.866731947383532,578.0,0.1723811393678318,0.555969662243327
ethnicity,black,latine,0.030051367529148193,1.0305074672163395,0.02284561148345354,1.7303059701859989,578.0,0.1888933795380762,0.555969662243327
ethnicity,latine,middle_eastern,-0.02552720952315244,0.9747958548745067,0.019965902090125057,1.6346651802665308,578.0,0.20157213354113618,0.555969662243327
ethnicity,asian,black,-0.02705765518677583,0.9733051238179103,0.02265739192411084,1.4261344857452785,578.0,0.23288618077201342,0.555969662243327
ethnicity,white,asian,0.025548943853162975,1.0258781154695653,0.02263381635938814,1.2741786622927511,578.0,0.25945250904688594,0.555969662243327
ethnicity,asian,middle_eastern,-0.022533497180780078,0.9777184858319283,0.02454494247066852,0.8428167559416837,578.0,0.358975338754571,0.6730787601648206
ethnicity,indian,middle_eastern,0.009054269820413402,1.0090953837131482,0.022297376683666072,0.1648919004672599,578.0,0.6848423101512002,0.9387678602988573
ethnicity,white,indian,-0.006038823148030505,0.9939793738964724,0.0215805052241369,0.07830354185124838,578.0,0.779709809325004,0.9387678602988573
ethnicity,black,indian,-0.004530111814417648,0.9954801336652132,0.02121805512454711,0.04558339800851378,578.0,0.8310101790905058,0.9387678602988573
ethnicity,black,middle_eastern,0.004524158005995755,1.0045344074597142,0.023333044943291355,0.03759522543225053,578.0,0.8463263126948893,0.9387678602988573
ethnicity,white,middle_eastern,0.0030154466723828974,1.0030199977050156,0.021129814394204204,0.02036629079886902,578.0,0.8865685459599194,0.9387678602988573
ethnicity,asian,latine,0.002993712342372362,1.0029981979742804,0.02453018190043376,0.014894248598610807,578.0,0.9029081777227969,0.9387678602988573
ethnicity,white,black,-0.0015087113336128572,0.9984924261991898,0.019631381289226774,0.00590623318278737,578.0,0.9387678602988573,0.9387678602988573
