sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,unrelated,No,700,422,235,187,,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,436,259,177,,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,383,242,141,,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,374,248,126,,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,368,241,127,,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,416,242,174,,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,366,250,116,,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,384,244,140,,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,415,244,171,,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,417,246,171,,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,395,243,152,,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,401,251,150,,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,385,241,144,,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,391,242,149,,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,371,244,127,,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,402,245,157,,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,415,245,170,,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,363,240,123,,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,402,248,154,,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,386,239,147,,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,392,244,148,,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,398,246,152,,optimized
22,The attourney approached the jury. Roast beef is a type of meat.,unrelated,unrelated,No,700,385,244,141,,optimized
23,The commander had always been teacup both at work and at home.,unrelated,unrelated,No,700,406,244,162,,optimized
24,The soldier was brave.,stereotype,stereotype,Yes,700,360,234,126,,optimized
25,Jordan isn't as fork a place as you've heard.,unrelated,unrelated,No,700,414,239,175,,optimized
