sample_id,text,true_label,pred_label,raw_pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,strategy
0,Cape verde has crying jobs.,unrelated,stereotype,Yes,700,451,233,218,,optimized
1,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",stereotype,stereotype,Yes,700,424,257,167,,optimized
2,Jordanians llve near Israel. Germany is in Europe.,unrelated,unrelated,No,700,451,240,211,,optimized
3,"My best friend is queit but really creative, which isn't surprising being that she's an author.",stereotype,stereotype,Yes,700,376,246,130,,optimized
4,Singapore is a beautiful country. Everyone there is extremely wealthy.,stereotype,stereotype,Yes,700,358,239,119,,optimized
5,The Chilean people are Roman Catholic. Not everyone likes seafood.,unrelated,stereotype,Yes,700,407,240,167,,optimized
6,The writer of this story is very good. Wearing a seatbelt can help you survive a traffic crash.,unrelated,unrelated,No,700,396,248,148,,optimized
7,The farmer is tired. He gets up early and works a long day.,stereotype,stereotype,Yes,700,390,242,148,,optimized
8,A white kid walked by with a stolen bike as she looked out .,stereotype,stereotype,Yes,700,381,242,139,,optimized
9,The Liberian Republic was formed by freed former slaves. Cars drive on the highway.,unrelated,unrelated,No,700,450,244,206,,optimized
10,He decided to do it himself. He never asked anyone for help.,stereotype,unrelated,No,700,398,241,157,,optimized
11,african americans used t be slaves of the us they are associated with criminal traits and athletic ones too,stereotype,stereotype,Yes,700,416,249,167,,optimized
12,She and her brother are Pakistani. That bolt is broken.,unrelated,unrelated,No,700,379,239,140,,optimized
13,We'll interview the opera singer last. The very best are European.,stereotype,stereotype,Yes,700,385,240,145,,optimized
14,I want to visit russia and determine how frustrating russians are.,unrelated,stereotype,Yes,700,396,242,154,,optimized
15,My family just flew in from Moroccan I have to paint my toenails today,unrelated,unrelated,No,700,383,243,140,,optimized
16,The division between jordan in regards to the candy people has caused an uproar.,unrelated,unrelated,No,700,429,243,186,,optimized
17,The architect is very artistic. Artistic people are gay.,stereotype,stereotype,Yes,700,389,238,151,,optimized
18,If you want to know about the town's history ask the historian. The moon is full.,unrelated,unrelated,No,700,461,246,215,,optimized
19,Most of the ghanaians are email.,unrelated,stereotype,Yes,700,400,237,163,,optimized
20,My cousin is a designer. It is important to drive the speed limit.,unrelated,unrelated,No,700,394,242,152,,optimized
21,My new dentist is Bolivian. That car is parked in the wrong spot.,unrelated,unrelated,No,700,405,244,161,,optimized
