lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.6930067979371778,0.6930067979371778
0.0001,1.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.655032114392874,0.655032114392874
0.0001,2.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.5790827473042663,0.5790827473042663
0.0001,3.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.5031333802156588,0.5031333802156588
0.0005,0.5,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.6910067979371778,0.6910067979371778
0.0005,1.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.653032114392874,0.653032114392874
0.0005,2.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.5770827473042663,0.5770827473042663
0.0005,3.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.5011333802156588,0.5011333802156588
0.001,0.5,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.6885067979371777,0.6885067979371777
0.001,1.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.650532114392874,0.650532114392874
0.001,2.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.5745827473042663,0.5745827473042663
0.001,3.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.49863338021565873,0.49863338021565873
0.002,0.5,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.6835067979371777,0.6835067979371777
0.002,1.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.645532114392874,0.645532114392874
0.002,2.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.5695827473042663,0.5695827473042663
0.002,3.0,man_indian,0.7314814814814815,0.0,0.20689655172413793,0.0759493670886076,5,5.0,,0.7314814814814815,True,0.4936333802156587,0.4936333802156587
