coef,se,z,p,ci_low,ci_high,term,OR,OR_ci_low,OR_ci_high
1.6801347576894028,0.15166767244448826,11.07773812711702,1.608856286372169e-28,1.3828715820791877,1.9773979332996179,Intercept,5.366279069767462,3.9863322879599163,7.223921382971748
-0.21791369096511043,0.07338110284372307,-2.969615916364638,0.0029817229468848275,-0.3617380096846374,-0.07408937224558348,"C(gender, Treatment(reference='man'))[T.woman]",0.8041948479525117,0.696464810977027,0.9285887000753237
-0.1255788253438268,0.06750969061563666,-1.8601599888644744,0.06286289397873032,-0.2578953875579163,0.006737736870262717,"C(ethnicity, Treatment(reference='white'))[T.asian]",0.8819862388183535,0.772676059408598,1.006760486484266
-0.23575205904905908,0.0659593466187876,-3.5742024615796963,0.0003512970333439372,-0.36503000286567655,-0.10647411523244157,"C(ethnicity, Treatment(reference='white'))[T.black]",0.7899765171819099,0.6941758233015545,0.8989983182225627
-0.047504198856060977,0.06670539073848238,-0.7121493230179938,0.47637231424293347,-0.1782443622781581,0.08323596456603616,"C(ethnicity, Treatment(reference='white'))[T.indian]",0.9536064690679177,0.8367379313175812,1.0867982241658825
-0.04750419885606046,0.05983873366497706,-0.7938703904067432,0.42727088879740227,-0.16478596171989998,0.06977756400777904,"C(ethnicity, Treatment(reference='white'))[T.latine]",0.9536064690679181,0.8480752052214487,1.0722696433634438
-0.13190757630023303,0.06664600925031733,-1.9792269302247076,0.0477904621687551,-0.2625313541441783,-0.001283798456287788,"C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",0.8764219934994252,0.7691022494477041,0.9987170252604173
0.0900966845514384,0.08814958735100255,1.022088557178183,0.30673898850865244,-0.0826733319085941,0.2628667010114709,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.asian]",1.0942800785693079,0.920651845684433,1.300653331622271
0.2966993675659216,0.09332428504928944,3.179230008665152,0.0014766686446709195,0.11378712998636445,0.47961160514547874,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.black]",1.34541076453001,1.1205135757549258,1.6154468490876455
0.02966583077196762,0.10022694264356674,0.2959865879324194,0.767240324016745,-0.16677536708998492,0.22610702863392013,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.indian]",1.030110245285926,0.8463897169695279,1.2537098409493486
0.11467833689231241,0.09668963065165728,1.186045867787652,0.2356041862230831,-0.07482985686341595,0.3041865306480408,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.latine]",1.1215126303078806,0.9279013489445017,1.3555218788838406
0.1681928613027372,0.08191742998769978,2.0531999273902026,0.04005319146806379,0.007637648820764231,0.32874807378471016,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",1.183164775344959,1.0076668900578796,1.3892278285899415
